Day,2022,2021
1,69.4°F,72°F
2,70°F,71.8°F
3,67.8°F,71.6°F
4,68.5°F,70°F
5,70.2°F,70°F
6,70.5°F,70.7°F
7,70.2°F,72.3°F
8,70.3°F,71.6°F
9,70.9°F,71.6°F
10,70.7°F,72.1°F
11,71.2°F,71.8°F
12,70.7°F,72.3°F
13,71.2°F,72.3°F
14,70.5°F,72.9°F
15,72.5°F,73.2°F
16,72.7°F,74.8°F
17,72.7°F,75.7°F
18,73.4°F,75.2°F
19,73°F,74.5°F
20,74.5°F,75.2°F
21,75.6°F,75.4°F
22,75.4°F,75.2°F
23,75.6°F,74.5°F
24,76.1°F,74.3°F
25,76.3°F,73.8°F
26,75.9°F,72.5°F
27,76.1°F,74.1°F
28,75.9°F,74.1°F
29,74.8°F,73.8°F
30,73°F,74.1°F
31,72°F,72.9°F
